strain	date	clade_membership	country	geoloc_9cat	region	sequenced_by_2cat	virus	accession	division	CLF_A_EXPOSURE	CONF_A_EXPOSURE
MT451400	2020-03-25	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451625	2020-04-06	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451412	2020-03-25	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451473	2020-03-27	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451411	2020-03-25	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451449	2020-03-28	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451196	2020-03-23	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451306	2020-03-25	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451742	2020-04-07	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451152	2020-03-21	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451268	2020-03-23	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451173	2020-03-22	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451743	2020-04-07	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451291	2020-03-25	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451389	2020-03-25	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451725	2020-04-04	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451131	2020-03-21	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451249	2020-03-21	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451141	2020-03-21	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451456	2020-03-28	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451666	2020-03-29	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451667	2020-03-30	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT246667	2020-01-19	19B	USA	WA	North America	External	ncov		Washington		
MN985325	2020-01-19	19B	USA	North America	North America	External	ncov				
MT233526	2020-01-19	19B	USA	WA	North America	External	ncov		Washington		
MT020880	2020-01-25	19B	USA	WA	North America	External	ncov		Washington		
MT020881	2020-01-25	19B	USA	WA	North America	External	ncov		Washington		
MT246469	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT163717	2020-02-28	19B	USA	WA	North America	External	ncov		Washington		
MT326172	2020-03-21	19B	USA	North America	North America	External	ncov				
MT452576	2020-03-13	19B	USA	North America	North America	External	ncov		California		
MT385444	2020-03-31	19B	USA	North America	North America	External	ncov		California		
MT252810	2020-03-08	19B	USA	WA	North America	External	ncov		Washington		
MT252823	2020-03-07	19B	USA	WA	North America	External	ncov		Washington		
MT263425	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT152824	2020-02-24	19B	USA	WA	North America	External	ncov		Washington		
MT263463	2020-03-16	19B	USA	North America	North America	External	ncov		Connecticut		
MT259253	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT263453	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT263401	2020-03-15	19B	USA	WA	North America	External	ncov		Washington		
MT252738	2020-03-15	19B	USA	WA	North America	External	ncov		Washington		
MT163719	2020-03-01	19B	USA	WA	North America	External	ncov		Washington		
MT252681	2020-03-10	19B	USA	WA	North America	External	ncov		Washington		
MT326186	2020-03-17	19B	USA	North America	North America	External	ncov				
MT252749	2020-03-11	19B	USA	WA	North America	External	ncov		Washington		
MT419834	2020-03-05	19B	USA	North America	North America	External	ncov		California		
MT252721	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT252758	2020-03-11	19B	USA	WA	North America	External	ncov		Washington		
MT246479	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT252770	2020-03-11	19B	USA	WA	North America	External	ncov		Washington		
MT326187	2020-03-18	19B	USA	North America	North America	External	ncov				
MT259247	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT252787	2020-03-09	19B	USA	WA	North America	External	ncov		Washington		
MT419829	2020-02-28	19B	USA	North America	North America	External	ncov		California		
MT293206	2020-03-19	19B	USA	WA	North America	External	ncov		Washington		
MT252680	2020-03-10	19B	USA	WA	North America	External	ncov		Washington		
MT263383	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT326041	2020-03-20	19B	USA	North America	North America	External	ncov				
MT263430	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT370849	2020-03-17	19B	USA	NY	North America	External	ncov		New York		
MT412250	2020-03-12	19B	USA	WA	North America	External	ncov		Washington		
MT461623	2020-03-31	19B	USA	WA	North America	External	ncov		Washington		
MT334533	2020-03-13	19B	USA	North America	North America	External	ncov		Utah		
MT334534	2020-03-13	19B	USA	North America	North America	External	ncov		Utah		
MT375441	2020-03-26	19B	USA	WA	North America	External	ncov		Washington		
MT263398	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT252710	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT252745	2020-03-12	19B	USA	WA	North America	External	ncov		Washington		
MT326165	2020-03-21	19B	USA	North America	North America	External	ncov				
MT461661	2020-04-05	19B	USA	WA	North America	External	ncov		Washington		
MT326111	2020-03-22	19B	USA	North America	North America	External	ncov				
MT385483	2020-03-28	19B	USA	North America	North America	External	ncov		California		
MT450955	2020-03-11	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT450956	2020-03-11	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT263395	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT246475	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT451125	2020-03-20	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451246	2020-03-21	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451256	2020-03-22	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451182	2020-03-22	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT326110	2020-03-22	19B	USA	North America	North America	External	ncov				
MT259280	2020-03-15	19B	USA	WA	North America	External	ncov		Washington		
MT326157	2020-03-21	19B	USA	North America	North America	External	ncov				
MT334538	2020-03-13	19B	USA	North America	North America	External	ncov		Utah		
MT188339	2020-03-09	19B	USA	North America	North America	External	ncov		Minnesota		
MT460120	2020-04-28	19B	USA	North America	North America	External	ncov		California		
MT326039	2020-03-23	19B	USA	North America	North America	External	ncov				
MT345841	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT345842	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT246473	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT251980	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT246457	2020-03-12	19B	USA	WA	North America	External	ncov		Washington		
MT263466	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT263387	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT263385	2020-03-23	19B	USA	WA	North America	External	ncov		Washington		
MT419853	2020-03-14	19B	USA	North America	North America	External	ncov		California		
MT452575	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT358742	2020-03-29	19B	USA	WA	North America	External	ncov		Washington		
MT385445	2020-03-25	19B	USA	North America	North America	External	ncov		California		
MT375452	2020-03-28	19B	USA	WA	North America	External	ncov		Washington		
MT385485	2020-04-08	19B	USA	North America	North America	External	ncov		California		
MT385487	2020-03-25	19B	USA	North America	North America	External	ncov		California		
MT385481	2020-03-28	19B	USA	North America	North America	External	ncov		California		
MT385471	2020-04-08	19B	USA	North America	North America	External	ncov		California		
MT252788	2020-03-09	19B	USA	WA	North America	External	ncov		Washington		
MT263412	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT326037	2020-03-23	19B	USA	North America	North America	External	ncov				
MT259276	2020-03-15	19B	USA	WA	North America	External	ncov		Washington		
MT252793	2020-03-09	19B	USA	WA	North America	External	ncov		Washington		
MT252702	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT246476	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT246459	2020-03-12	19B	USA	WA	North America	External	ncov		Washington		
MT326053	2020-03-23	19B	USA	North America	North America	External	ncov				
MT259287	2020-03-15	19B	USA	WA	North America	External	ncov		Washington		
MT375476	2020-04-02	19B	USA	WA	North America	External	ncov		Washington		
MT375477	2020-04-02	19B	USA	WA	North America	External	ncov		Washington		
MT293169	2020-03-17	19B	USA	WA	North America	External	ncov		Washington		
MT344954	2020-03-05	19B	USA	North America	North America	External	ncov		Minnesota		
MT325568	2020-03-06	19B	USA	North America	North America	External	ncov		Florida		
MT419835	2020-03-05	19B	USA	North America	North America	External	ncov		California		
MT419837	2020-03-05	19B	USA	North America	North America	External	ncov		California		
MT419839	2020-03-05	19B	USA	North America	North America	External	ncov		California		
MT252803	2020-03-09	19B	USA	WA	North America	External	ncov		Washington		
MT252822	2020-03-06	19B	USA	WA	North America	External	ncov		Washington		
MT263460	2020-03-12	19B	USA	North America	North America	External	ncov		Illinois		
MT326183	2020-03-17	19B	USA	North America	North America	External	ncov				
MT326123	2020-03-20	19B	USA	North America	North America	External	ncov				
MT252683	2020-03-10	19B	USA	WA	North America	External	ncov		Washington		
MT252771	2020-03-11	19B	USA	WA	North America	External	ncov		Washington		
MT358674	2020-03-26	19B	USA	WA	North America	External	ncov		Washington		
MT358656	2020-03-31	19B	USA	WA	North America	External	ncov		Washington		
MT326051	2020-03-23	19B	USA	North America	North America	External	ncov				
MT358670	2020-03-31	19B	USA	WA	North America	External	ncov		Washington		
MT326176	2020-03-19	19B	USA	North America	North America	External	ncov				
MT326042	2020-03-23	19B	USA	North America	North America	External	ncov				
MT412257	2020-04-02	19B	USA	WA	North America	External	ncov		Washington		
MT252807	2020-03-09	19B	USA	WA	North America	External	ncov		Washington		
MT412291	2020-04-01	19B	USA	WA	North America	External	ncov		Washington		
MT358710	2020-03-27	19B	USA	WA	North America	External	ncov		Washington		
MT412312	2020-04-01	19B	USA	WA	North America	External	ncov		Washington		
MT412261	2020-04-05	19B	USA	WA	North America	External	ncov		Washington		
MT358696	2020-03-26	19B	USA	WA	North America	External	ncov		Washington		
MT412248	2020-03-12	19B	USA	WA	North America	External	ncov		Washington		
MT326116	2020-03-20	19B	USA	North America	North America	External	ncov				
MT163720	2020-03-01	19B	USA	WA	North America	External	ncov		Washington		
MT246455	2020-03-12	19B	USA	WA	North America	External	ncov		Washington		
MT293211	2020-03-19	19B	USA	WA	North America	External	ncov		Washington		
MT293184	2020-03-18	19B	USA	WA	North America	External	ncov		Washington		
MT163721	2020-03-01	19B	USA	WA	North America	External	ncov		Washington		
MT412275	2020-04-06	19B	USA	WA	North America	External	ncov		Washington		
MT326155	2020-03-21	19B	USA	North America	North America	External	ncov				
MT358711	2020-03-27	19B	USA	WA	North America	External	ncov		Washington		
MT252723	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT263396	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT252684	2020-03-10	19B	USA	WA	North America	External	ncov		Washington		
MT293203	2020-03-18	19B	USA	WA	North America	External	ncov		Washington		
MT252707	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT293188	2020-03-28	19B	USA	WA	North America	External	ncov		Washington		
MT293158	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT252716	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT252709	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT252800	2020-03-10	19B	USA	WA	North America	External	ncov		Washington		
MT252778	2020-03-11	19B	USA	WA	North America	External	ncov		Washington		
MT163718	2020-02-29	19B	USA	WA	North America	External	ncov		Washington		
MT461610	2020-03-29	19B	USA	WA	North America	External	ncov		Washington		
MT461629	2020-03-31	19B	USA	WA	North America	External	ncov		Washington		
MT461609	2020-03-29	19B	USA	WA	North America	External	ncov		Washington		
MT461613	2020-04-01	19B	USA	WA	North America	External	ncov		Washington		
MT326177	2020-03-19	19B	USA	North America	North America	External	ncov				
MT461615	2020-04-01	19B	USA	WA	North America	External	ncov		Washington		
MT461622	2020-03-31	19B	USA	WA	North America	External	ncov		Washington		
MT461612	2020-03-28	19B	USA	WA	North America	External	ncov		Washington		
MT461605	2020-03-28	19B	USA	WA	North America	External	ncov		Washington		
MT293163	2020-03-29	19B	USA	WA	North America	External	ncov		Washington		
MT461617	2020-04-01	19B	USA	WA	North America	External	ncov		Washington		
MT461604	2020-03-29	19B	USA	WA	North America	External	ncov		Washington		
MT385482	2020-03-28	19B	USA	North America	North America	External	ncov		California		
MT385478	2020-04-08	19B	USA	North America	North America	External	ncov		California		
MT385473	2020-03-28	19B	USA	North America	North America	External	ncov		California		
MT385419	2020-04-08	19B	USA	North America	North America	External	ncov		California		
MT385469	2020-03-25	19B	USA	North America	North America	External	ncov		California		
MT385470	2020-04-08	19B	USA	North America	North America	External	ncov		California		
MT259254	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT385479	2020-03-31	19B	USA	North America	North America	External	ncov		California		
MT252809	2020-03-09	19B	USA	WA	North America	External	ncov		Washington		
MT345853	2020-03-25	19B	USA	WA	North America	External	ncov		Washington		
MA_MGH_00018	2020-03-25	19B	USA	MA	North America	Broad	ncov		Massachusetts		
MA_MGH_00049	2020-03-23	19B	USA	MA	North America	Broad	ncov		Massachusetts		
MT419816	2020-03-24	19B	Puerto Rico	North America	North America	External	ncov				
MT451091	2020-03-19	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT450922	2020-03-05	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451063	2020-03-18	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451490	2020-03-21	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MA_MGH_00551	2020-03-20	19B	USA	MA	North America	Broad	ncov		Massachusetts		
MT419810	2020-03-23	19B	Puerto Rico	North America	North America	External	ncov				
MT451036	2020-03-21	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451122	2020-03-20	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT450983	2020-03-13	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT450982	2020-03-13	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451105	2020-03-19	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451304	2020-03-26	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451462	2020-03-27	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451548	2020-03-30	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451810	2020-04-01	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451818	2020-04-02	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451647	2020-03-26	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451266	2020-03-22	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT444607	2020-04-08	19B	USA	North America	North America	External	ncov				
MT444563	2020-03-12	19B	USA	North America	North America	External	ncov				
MT444148	2020-03-11	19B	USA	North America	North America	External	ncov		California		
MT450939	2020-03-09	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT439252	2020-03-18	19B	USA	North America	North America	External	ncov		Michigan		
MT451024	2020-03-18	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451065	2020-03-18	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451019	2020-03-18	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MA_MGH_00530	2020-03-18	19B	USA	MA	North America	Broad	ncov		Massachusetts		
MT451020	2020-03-18	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451139	2020-03-21	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451064	2020-03-18	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT450935	2020-03-08	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451043	2020-03-15	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451004	2020-03-16	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT460131	2020-04-30	19B	USA	North America	North America	External	ncov		California		
MT451737	2020-04-06	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT295464	2020-03-10	19B	USA	North America	North America	External	ncov				
MT451439	2020-03-28	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MA_MGH_00132	2020-03-25	19B	USA	MA	North America	Broad	ncov		Massachusetts		
MT451129	2020-03-21	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451106	2020-03-19	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451511	2020-03-30	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451797	2020-03-31	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451515	2020-03-30	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451591	2020-04-04	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451509	2020-03-30	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451508	2020-03-30	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451068	2020-03-18	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MA_MGH_00676	2020-03-21	19B	USA	MA	North America	Broad	ncov		Massachusetts		
MT451027	2020-03-17	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451482	2020-03-29	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451820	2020-04-02	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MA_MGH_00600	2020-03-28	19B	USA	MA	North America	Broad	ncov		Massachusetts		
MA_MGH_00090	2020-03-25	19B	USA	MA	North America	Broad	ncov		Massachusetts		
MT451226	2020-03-20	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT451114	2020-03-20	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MA_MGH_00063	2020-03-24	19B	USA	MA	North America	Broad	ncov		Massachusetts		
MA_MGH_00071	2020-03-23	19B	USA	MA	North America	Broad	ncov		Massachusetts		
MT451161	2020-03-22	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MA_MGH_00646	2020-04-02	19B	USA	MA	North America	Broad	ncov		Massachusetts		
MT451227	2020-03-20	19B	Australia	Oceania	Oceania	External	ncov		Victoria		
MT412238	2020-03-12	19B	USA	WA	North America	External	ncov		Washington		
MT358682	2020-03-26	19B	USA	WA	North America	External	ncov		Washington		
MT412290	2020-04-01	19B	USA	WA	North America	External	ncov		Washington		
MT293187	2020-03-17	19B	USA	WA	North America	External	ncov		Washington		
MT412252	2020-03-11	19B	USA	WA	North America	External	ncov		Washington		
MT358679	2020-03-26	19B	USA	WA	North America	External	ncov		Washington		
MT246485	2020-03-15	19B	USA	WA	North America	External	ncov		Washington		
MT326034	2020-03-23	19B	USA	North America	North America	External	ncov				
MT461643	2020-04-05	19B	USA	WA	North America	External	ncov		Washington		
MT293190	2020-03-17	19B	USA	WA	North America	External	ncov		Washington		
MT259270	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT252766	2020-03-11	19B	USA	WA	North America	External	ncov		Washington		
MT252761	2020-03-12	19B	USA	WA	North America	External	ncov		Washington		
MT263461	2020-03-22	19B	USA	WA	North America	External	ncov		Washington		
MT252775	2020-03-11	19B	USA	WA	North America	External	ncov		Washington		
MT358687	2020-03-26	19B	USA	WA	North America	External	ncov		Washington		
MT263469	2020-03-15	19B	USA	WA	North America	External	ncov		Washington		
MT263441	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT246478	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT251975	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT246489	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT412244	2020-03-12	19B	USA	WA	North America	External	ncov		Washington		
MT293179	2020-03-17	19B	USA	WA	North America	External	ncov		Washington		
MT293194	2020-03-18	19B	USA	WA	North America	External	ncov		Washington		
MT326052	2020-03-23	19B	USA	North America	North America	External	ncov				
MT259237	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT412295	2020-03-31	19B	USA	WA	North America	External	ncov		Washington		
MT358671	2020-03-30	19B	USA	WA	North America	External	ncov		Washington		
MT246474	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT252687	2020-03-10	19B	USA	WA	North America	External	ncov		Washington		
MT358724	2020-03-27	19B	USA	WA	North America	External	ncov		Washington		
MT326086	2020-03-19	19B	USA	North America	North America	External	ncov				
MT326135	2020-03-20	19B	USA	North America	North America	External	ncov				
MT246456	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT263397	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT252679	2020-03-10	19B	USA	WA	North America	External	ncov		Washington		
MT326166	2020-03-21	19B	USA	North America	North America	External	ncov				
MT358677	2020-03-26	19B	USA	WA	North America	External	ncov		Washington		
MT263457	2020-03-15	19B	USA	WA	North America	External	ncov		Washington		
MT252730	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT263448	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT293183	2020-03-18	19B	USA	WA	North America	External	ncov		Washington		
MT326145	2020-03-21	19B	USA	North America	North America	External	ncov				
MT461654	2020-04-05	19B	USA	WA	North America	External	ncov		Washington		
MT412281	2020-04-07	19B	USA	North America	North America	External	ncov				
MT358720	2020-03-27	19B	USA	WA	North America	External	ncov		Washington		
MT412235	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT412237	2020-03-12	19B	USA	WA	North America	External	ncov		Washington		
MT412253	2020-03-11	19B	USA	WA	North America	External	ncov		Washington		
MT293225	2020-03-18	19B	USA	WA	North America	External	ncov		Washington		
MT252735	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT412234	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT345840	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT326050	2020-03-23	19B	USA	North America	North America	External	ncov				
MT412239	2020-03-10	19B	USA	North America	North America	External	ncov				
MT358648	2020-03-31	19B	USA	WA	North America	External	ncov		Washington		
MT293216	2020-03-19	19B	USA	WA	North America	External	ncov		Washington		
MT252764	2020-03-12	19B	USA	WA	North America	External	ncov		Washington		
MT259275	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT252799	2020-03-09	19B	USA	WA	North America	External	ncov		Washington		
MT252677	2020-03-10	19B	USA	WA	North America	External	ncov		Washington		
MT412228	2020-04-02	19B	USA	WA	North America	External	ncov		Washington		
MT251972	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT252757	2020-03-11	19B	USA	WA	North America	External	ncov		Washington		
MT461658	2020-04-04	19B	USA	WA	North America	External	ncov		Washington		
MT326076	2020-03-24	19B	USA	North America	North America	External	ncov				
MT252694	2020-03-10	19B	USA	WA	North America	External	ncov		Washington		
MT293192	2020-03-28	19B	USA	WA	North America	External	ncov		Washington		
MT263414	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT246488	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT259257	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT412323	2020-04-02	19B	USA	WA	North America	External	ncov		Washington		
MT412246	2020-03-11	19B	USA	WA	North America	External	ncov		Washington		
MT252821	2020-03-07	19B	USA	WA	North America	External	ncov		Washington		
MT251977	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT252795	2020-03-10	19B	USA	WA	North America	External	ncov		Washington		
MT259269	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT293159	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT293156	2020-03-30	19B	USA	WA	North America	External	ncov		Washington		
MT412158	2020-03-18	19B	USA	North America	North America	External	ncov		Michigan		
MT263451	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT252708	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT326134	2020-03-20	19B	USA	North America	North America	External	ncov				
MT263421	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT263424	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT246477	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT252805	2020-03-08	19B	USA	WA	North America	External	ncov		Washington		
MT252737	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT345822	2020-03-25	19B	USA	WA	North America	External	ncov		Washington		
MT246486	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT252804	2020-03-08	19B	USA	WA	North America	External	ncov		Washington		
MT293166	2020-03-17	19B	USA	WA	North America	External	ncov		Washington		
MT252686	2020-03-10	19B	USA	WA	North America	External	ncov		Washington		
MT326105	2020-03-22	19B	USA	North America	North America	External	ncov				
MT326138	2020-03-20	19B	USA	North America	North America	External	ncov				
MT375457	2020-04-06	19B	USA	North America	North America	External	ncov				
MT263435	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT263458	2020-03-15	19B	USA	WA	North America	External	ncov		Washington		
MT252801	2020-03-05	19B	USA	WA	North America	External	ncov		Washington		
MT326188	2020-03-16	19B	USA	North America	North America	External	ncov				
MT293177	2020-03-16	19B	USA	North America	North America	External	ncov				
MT293208	2020-03-19	19B	USA	WA	North America	External	ncov		Washington		
MT259236	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT263403	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT263418	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT246461	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT293160	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT246471	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT263416	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT293181	2020-03-18	19B	USA	WA	North America	External	ncov		Washington		
MT326153	2020-03-21	19B	USA	North America	North America	External	ncov				
MT252736	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT259271	2020-03-15	19B	USA	WA	North America	External	ncov		Washington		
MT252765	2020-03-10	19B	USA	WA	North America	External	ncov		Washington		
MT246465	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT263422	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT263388	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT263447	2020-03-14	19B	USA	WA	North America	External	ncov		Washington		
MT246482	2020-03-15	19B	USA	WA	North America	External	ncov		Washington		
MT263443	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT326038	2020-03-24	19B	USA	North America	North America	External	ncov				
MT252747	2020-03-12	19B	USA	WA	North America	External	ncov		Washington		
MT263452	2020-03-17	19B	USA	WA	North America	External	ncov		Washington		
MT263400	2020-03-23	19B	USA	WA	North America	External	ncov		Washington		
MT293200	2020-03-19	19B	USA	WA	North America	External	ncov		Washington		
MT263464	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT263419	2020-03-16	19B	USA	WA	North America	External	ncov		Washington		
MT326097	2020-03-21	19B	USA	North America	North America	External	ncov				
MT326098	2020-03-22	19B	USA	North America	North America	External	ncov				
MT246464	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT263450	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT252806	2020-03-09	19B	USA	WA	North America	External	ncov		Washington		
MT252748	2020-03-11	19B	USA	WA	North America	External	ncov		Washington		
MT263382	2020-03-23	19B	USA	WA	North America	External	ncov		Washington		
MT252767	2020-03-11	19B	USA	WA	North America	External	ncov		Washington		
MT252808	2020-03-09	19B	USA	WA	North America	External	ncov		Washington		
MT263399	2020-03-24	19B	USA	WA	North America	External	ncov		Washington		
MT246466	2020-03-13	19B	USA	WA	North America	External	ncov		Washington		
MT252746	2020-03-12	19B	USA	WA	North America	External	ncov		Washington		
